Örnek İndeksi,Gerçek Etiket,Modelin Tahmini,Metin
3965,Negative,Positive,"I wish I could have voted this movie a ten, it's that funny. If they had intended for it to be that funny I would have given it a ten. I have to give it a 1, but it's the funniest darn 1 you'll ever want to watch. See the giant blur flash across the screen! Where did it come from? What is it? It flies, it terrifies, it's electrifying, it's on strings! This bird has real personality. I was about ten when I saw it for the first time, and when Big Bird appeared on Sesame Street, I was sure they were one and the same!"
3967,Positive,Negative,"OK, maybe it doesn't deserve an Oscar. Or a Golden Globe. Or any award, for that matter. The acting isn't outstanding, there's no reason to give credits to the directing, and its really just another semi-gory 21st century slasher flick that MOST people will consider just decent. Or maybe even dreadful. But in my opinion, all of this doesn't matter a bit. And thats because i had a great time watching this movie.<br /><br />Sure, the first 40 minutes are pretty slow, but as the movie progresses, something in it you will like, if you are like I was, and anybody else should be when watching this movie. And that is: looking for 2 hours of fun, mindless violence. (And a kick-ass ending, which i won't spoil.) Yes, there are many flaws in this movie, but don't let the cast list on the front cover fool you. Hilton delivers a decent performance that nobody saw coming. Even her greatest haters like me and my friends had to agree that she surprised us greatly with her barely believable acting skills and a strip-tease that wasn't as nasty as anything an online pop-up would promise of her, but still not so unbearable as to fast-forward or turn off the DVD.<br /><br />The violence in this surprised me; nobody at school or on the horror board was talking about it like they were about ""these new movies called 'Saw' and 'Hostel'"" but I could safely say that ""Wax"" was more graphic than Saw, and some death scenes were actually quite disturbing.<br /><br />In conclusion, I'm not surprised House of Wax didn't make a place on the IMDb Top 250, but it is definitely worth a look."
3973,Negative,Positive,"I have seen Dolemite and also (Avenging) Disco Godfather, two other fine works of the blaxploitation canon from our friend Rudy Ray Moore. But this film, The Human Tornado (aka Dolemite 2) will always hold a special place in my heart. For sheer goofiness, lack of skill in film production, and absolute enthusiasm (frankly a little too much), The Human Tornado cannot be topped.<br /><br />The opening scene sets the tone. Our old pal Dolemite is shacking up with a white woman, when some racist local cops raid the house for no good reason, and wouldn't you know it! The woman in bed with ol' Dole is none other than the sheriff's wife. Her cry when she sees him: ""He made me do it!"" Dolemite's cry: ""&$*@$ are you for real???"" Subtlety was never his strong point.<br /><br />Highlights? The cameo by a very young Ernie Hudson (of Ghostbusters fame), the continuity errors (characters looking one way in one shot, and another in the next, Dolemite's suit changing colors in every single shot of his nightclub act), and Queen Bee's demonic eyes in her first scene.<br /><br />But the real joy here is Rudy Ray Moore himself. Did the man really think he looked cool in this movie? I certainly don't know why, but you have to admire the sheer enthusiasm he has. Whether it be jumping totally naked off a cliff, or barking orders to his gang in rhyme (e.g: Quick! Into the cave! I have a plan to let that mother $*@(%& dig his own grave!) the man commits totally. Certainly he goes overboard, nevermore so than any time he's doing kung fu. The climactic battle is filmed at high speed, but occassionaly slows down to let Rudy pose and grits his teeth. I'm not sure if they wanted it too look like they sped up the film as an effect or if they really wanted us to believe he was that fast. In any event, ""The Matrix"" it is not.<br /><br />Human Tornado, much like the original Dolemite, is an incompetent film of enormous proportions. But at least it's fun, and certainly you have to give credit to these people for the effort. Just not that much. Enjoy with my hearty recommendations."
3984,Negative,Positive,"An intriguing premise of hand-drawn fantasy come to life in a child's fever dreams. However, I imagine the average nonfictional child is far more adept at scaring themselves than Bernard Rose is at riveting the viewer. The duel between Anna's two realities drags on far too long to sustain interest, especially considering that the little girl playing her is the most abrasive child actor I've ever seen.<br /><br />Use only for kindling."
3985,Negative,Positive,"this was made in that beloved age known as the 80s and shot in my hometown of New York City. actually, this has become one of my favorite b sci-fi movies. Oh, sure, it really stinks to high hell, but there's so much to make fun of, laugh, and enjoy that it becomes more tolerable after every viewing.<br /><br />Such as:<br /><br />Try to find the similarities between this and...well, OK, there is nothing similarly bad as this. Well, except Castle of FuManchu.<br /><br />Sock puppets can be dangerous to your health<br /><br />Create supense by describing through voice over rather than showing any imagery<br /><br />Have leading villainess ""Valeria"" (played wonderfully by Angelika Jager) deliver some of the most riveting lines ever!!<br /><br />Lots of men and women in post apocalyptic fashion (aka leather bikinis, loin cloths, and dead animal fur)<br /><br />Do be horrified by the end!<br /><br /> I'm off to have a salad. Toodles!!"
3993,Positive,Negative,"With this topic, it is so easy to take cheap shots. You know, the guy with hairy legs trying to look like Marilyn Monroe. Not here -- Adrian Pasdar does a superb job of making Gerald a REAL person, someone you care deeply about, and as a result you feel for his plight trying to live both as Gerald and Geraldine. Not only that, but as Geraldine, he looks HOT! And the chemistry between him and Julie Walters is electric. These are two characters who feel love for one another, and it comes through even when they simply look at each other over the breakfast table. Even the potentially cheesy sub-story line of corporate takeovers is believable, and you find yourself cheering at the end! At least I did!"
4003,Negative,Positive,"I caught this movie at a small screening held by members of my college's gaming club. We were forewarned that this would be the ""reefer madness"" of gaming, and this movie more than delivered.<br /><br />Tom Hanks plays Robbie, a young man re-starting his college career after ""resting"" for a semester. What we, the viewer, find out as the movie progresses, is that Robbie was hopelessly addicted to a role-playing game called ""Mazes and Monsters,"" a game that he gets re-acquainted with after a gaming group recruit him for a campaign.<br /><br />This movie is laughable on many, many levels. One scene features the group ""gaming by candlelight,"" which is probably the best way I can describe it. While I'm sure that this was meant to be ""cultish"" in some way, as most gamers know, it's horribly inaccurate. Most role-play sessions are done in well-lit rooms, usually over some chee-tohs and a can of soda.<br /><br />The acting, while not Oscar-caliber, isn't gut-wrenchingly awful either. This is one of Tom Hanks's first roles, and Bosom Buddies and Bachelor Party were still a year or two over the horizon. The supporting cast, while not very memorable, still hand forth decent performances.<br /><br />Mainly the badness lies in the fact that it was a made-for-TV movie that shows the ""dangers of gaming"" Worth a view if you and your friends are planning a bad movie night."
4023,Negative,Positive,"Since the characters begin with ""Unknown"" identities, they not identified by name, so you start with handsome James Caviezel waking up in a warehouse. He finds out the place is locked up tight. Don't ask - the windows are made with security glass, and it's impossible to get out. Four other awakening men make it a quintet - Mr. Caviezel in his ""Jean Jacket"", Barry Pepper in a ""Ranger Shirt"", Greg Kinnear with a ""Broken Nose"", Joe Pantoliano as a chair ""Bound Man"", and Jeremy Sisto shot and ""Handcuffed Man"". Oh, Man <br /><br />These five men have collective amnesia. They think that three of them are kidnappers, and two are victims - but, they don't know who is which or which is who. The forgetfulness is due to a pipe leak. Don't ask - it happens. Meanwhile, on the outside, lead lawman David Selby (as Parker) sends his cops to solve the kidnapping while one of the men's wives, Bridget Moynahan (as Eliza Coles), frantically waits. But, criminal element's gang leader, Peter Stormare in ""Snakeskin Boots"", is also on his way to the scene.<br /><br />Like the DVD synopsis says, ""As secrets are revealed and clues unraveled, (the five men) must race against time to figure out who is good and who is evil in order to stay alive."" This story reads a lot better than it looks on film, unfortunately. When the secrets are finally revealed, and memories become clear, there is no longer much interest in what has happened. Simply, director Simon Brand has a great premise with Matthew Waynee's idea, but they encumber light investment in the characters holding the short end of the stick.<br /><br />**** Unknown (11/1/06) Simon Brand ~ James Caviezel, Barry Pepper, Greg Kinnear, David Selby"
4038,Negative,Positive,"Carlos is perhaps not the most original comic, but the first series was amusing, his forthright comments and observations were fresh. I missed a couple of seasons, but after all of the allegations of stealing material I caught a couple of episodes of the Mind of Mencia at the end of July 07. A bit of a change I see! Carlos is much more into toilet humor and sex jokes than the race observations. In one episode he sort of implied he was in the same league as Chris Rock and Dave Chappelle. I think not. Perhaps Comedy Central will give him one more season, but episodes I saw sounded tired and samey with more words beeped out than the Osbournes. Carlos, go back to stand-up for a couple of years, get some fresh material and try again."
4046,Negative,Positive,"I have read several reviews that ask the question, ""Why was this film made""? I myself found that question looming in my mind as the hour and twenty minute feature seemed to drag near the middle, only to give off the sensation that it was picking up steam at the end, when in actuality it was doing nothing of the sort. So, ""Why was this film made""? I think that is a great question for those watching Heftig og begeistret to ask themselves. This reviewer is proud of director Knut Erik Jensen for giving us this powerful image of hope, brotherhood, and inspiration with this all male choir, but I do not think that Jensen did enough to bring a gripping story to the table. Let me pose this question to you, ""Do audience members need more in a documentary than just a straight forward story to maintain interest""? My answer is yes, and this is where Jensen failed. Heftig og begeistret was a good documentary, but it was far from great. Jensen did a horrible job with the story and dedication of the subjects. It was great to hear the songs, but over time, those songs seemed dull, overwhelming, and a bit precocious. From the opening scene where our men are singing their hearts out in a blinding snow, I knew that I was hooked, but as the film developed I lost interest. Why? Jensen never took us, the audience members, to the next level. He kept the playing field level and ultimately hurt the overall tone of the film. Was this a movie about the music or about the men in the choir? The world may never know.<br /><br />Again, I would like to state that Jensen did a phenomenal job of finding an interesting story about this group of men who have definitely seen hard times and how they coped with that through music, but it was as if the all male choir were a bunch of the most boring men ever created. Jensen gave us the music superbly, but it was the characters, the subjects, that I knew nothing about by the end of the film. In the mix we had a 97 year old man who still had his driver's license, we had a large man in a tub singing classic American songs, we had old men who were once heartthrobs in their youth, we had some tension between the youth of the choir and the veteran singers, and we even had an ex-drug addict that had only been clean for eleven years. Did Jensen develop these interesting stories at all? Nope, he left them on the table. It was obvious that these singers were willing to talk further about it (see the political man who missed his political days), but Jensen seemed to clear away from those heartfelt moments and head straight back into interesting places that he could have the choir sing. To me, the music was defined at the beginning of the film, I wanted to be introduced and hear the stories of these individual men. They were all captivating, yet Jensen seemed to ignore them completely.<br /><br />By ignoring the major subjects of this documentary, Jensen became unsuccessful in creating any sort of tension towards the end. Without giving the ending away, I felt like Jensen was coloring in the lines. Instead of being bold outside the lines, he chose to create no moment of sympathy, emotion, nervousness, or sadness. Jensen took our subjects from point A to point B to point C without asking us to become involved in any way shape or form. I can see how national sentiment had made this film into a huge success in Norway, but for everyone else watching (i.e. ME) more was necessarily needed. I wanted to feel for these guys. I wanted to know if they were going to do well as they traveled, or just find themselves loved in their own city. There was no story, mostly in part to no development of the subjects. When you watch modern documentaries (oddly, this film was made in 2001), you want it to play out similar to any Hollywood feature film. You want suspense, realism, and drama, alas, with Heftig og begeistret you get nothing of the sort.<br /><br />Overall, I must ask the question again, ""Why was this film made""? My final answer Alex, is that Jensen wanted to show how troubling times and a changing economy can still produce happiness in even the coldest places of Earth. I think that Jensen wanted to show human dedication and how something as simple as singing can unite a population. With that said, Jensen demonstrated that perfectly in this film, but he did not create a good documentary. When you make a film of this nature, I feel that you must look within the group, examine the choir participants and hear each one of their stories to bring about an ending that will grip your heart. The only thing that this film gripped was my attention span as it attempted to leave the room at rocket speed. Again, I do not want to sound negative about this film because the music was excellent and the men singing did bring about a feeling of honesty, but I needed more. With documentaries becoming a bigger staple of the film community, one expects a bit more than what Heftig og begeistret handed to us. I want to see reality and people, not just another song and dance routine! <br /><br />Grade: ** out of *****"
4050,Negative,Positive,"I have seen and liked the original film, and expected more from a remake than this.<br /><br />GOOD: Effects and makeup are good. No complaints about the score and visuals, they are adequate, and the performances were okay (Tim Roth was excellent, the other principals were fine, and a handful of the ""supporting supporting actors"" did very well with extremely limited roles). The action scenes were exciting and fun.<br /><br />BAD: The escape from the ape city was terrible. The characters are going in circles, then suddenly someplace in the middle of town there are tunnels to escape. Plus, what escape route leads through everybody's bedroom?<br /><br />The story was pared down to include as much action as possible. I like action scenes but the original film had more meat to it and deserved more respect.<br /><br />Finally, the ending was completely nonsensical as presented. Without seeing the inevitable sequel, there is no justification for it.<br /><br />"
4069,Positive,Negative,"So, neighbor was killing neighbor. Reminds me of Iraq. As I watched the American flag (50 stars in 1864?) being dragged behind the horse, I realized why burning that piece of red white and blue doesn't upset me as much as our destruction/indifference to the Bill of Rights. I'm a Southerner, and must have some historical memory.<br /><br />Watching the Tobey McGuire character learn to respect the dignity of a former slave, as he looks at the scalps of blacks and Germans (his ethnic background) being wagered at a poker game.....was interesting. Many twists in this movie. The wife, who is forced into her marriage, shows both lust and a strong will, characteristics we're not used to seeing in 'respectable Victorian southern belles'.<br /><br />The crazy wacked out renegade southerner gave me some insight into why my cousin, head of the Copeland Horse-thieving Gang, Inc. in Mississippi, was hung about that time. Bands of homeless men were roaming the countryside, armed. Remind you of Iraq? And how similar we are underneath the facade of religion and ethnic background? And why southerners are STILL fighting that civil war today.<br /><br />Too bad we can't use that same knowledge in our handling of the country we've just invaded and are occupying, fomenting civil war everywhere. That's Mesopotamia, now called Iraq, who happen to have the misfortune to sit on oil. The wild-eyed killers in Missouri, raiding Lawrence, Kansas could as easily be the insurgents we're fighting now with no success.<br /><br />Another anomaly was the father's tribute to the Yankees who move into Lawrence and erect a school ""even before they erect a church. And for that reason, they'll win."" Huh????? I was taught history in Birmingham, Al and we were taught that the North was much more industrial and richer.....that's why they won. Course, they also LITERALLY had God on their side. As you see here, when the freed slave indicates that he's cutting out to free his mother, sold into slavery in Texas. God, what a horrible legacy slavery gave us.<br /><br />Acting pretty good, lots of blood and gore as the warriors ride gleefully into battle (but didn't hear any rebel yells, so reminiscent of football games in Alabama). You also get a real feeling for how stupid the war was, as the bushwackers and jayhawkers gather their forces for another raid. They have lost sight of why they're fighting, and so do we. Just more mindless slaughter.<br /><br />You're also brought up to date with the limbless kids coming home from Iraq, as the bushwacker (ahh, what connotations) first has his arm seared shut, trying to save it, then has it amputated, and then dies. So much suffering for such a stupid cause.<br /><br />The cinematography is fantastic. Now I have to get back to the DVD and get the production notes, one of my favorite parts of any movie. I suspect that this movie was written by a Gore Vidal, as the spoken language is of a type you would associate with that era, if you knew History. The dialogue is definitely thought-provoking. Not your ordinary blood and guts war movie, by any means. You see the wounded but still active-duty soldiers, still fighting cause they have nothing else to do. You see the southern raiders, living off the land, stealing indiscriminately. Yet, at the beginning, you've seen the battle stop, so the women could be evacuated from danger. As I read the escalating number of women and children dying in Iraq, I'm thinking, ""Where did we lose our sense of honor as a people?"" I have forgotten why I sought this movie out and bought it after 20 years, but some book somewhere lauded it. With good reason. Tobey at his best, pre-Spideyman. Buy the DVD or rent it. And tell me why others laud this, not just liberals cest moi."
4070,Negative,Positive,"STAR RATING: ***** Unmissable **** Very Good *** Okay ** You Could Go Out For A Meal Instead * Avoid At All Costs <br /><br />The tale of the titular Adam (Mark O' Halloran) and Paul (Tom Murphy), two heroin addicts in the slums of Dublin and their daily amblings about in their meaningless lives searching for the next fix that will make their day. Along the way they try and reconcile with close family and friends who they've managed to let down and destroy over the years.<br /><br />I know a lot of Irish people like to drink, but it seems some of them have problems with heroin, too by the looks of this movie. I know there is a bit of a drug problem over there, like there is in many parts of the world, so another humorous take on the subject matter is not an entirely unexpected thing.<br /><br />I don't recall the last Irish movie I saw (the film is shot in a style that makes it stand out from any film I've seen lately!) And, judging from that, obviously I'm not as enlightened on their humour as I could be. The film is rather funny in certain parts, but it's obviously another comedy that isn't afraid to raise near-the-knuckle laughs. The scene in which the mentally disabled boy is robbed down the back of an alley is certainly true of what a pair of junkies might do to feed their habit but is nonetheless utterly despicable and I'm not sure if it was meant as dark humour in any way but it certainly didn't put a smile on my face! It's also in stark contrast to their previous actions where they're seen showing their soft side rocking a baby to-and-fro. In light of this, some may find the ending sad, others may see it as just desserts.<br /><br />Overall, I just failed to see the point to the film. I didn't see any motivation in the 'story' it was telling. It just seems to amble along without really involving the audience in any way. Unlike Trainspotting (which dealt with similar themes!) it's an unsuccessful effort for the most part that had me on the verge of nodding off despite it's very short 83 minute running time. Really no more enjoyable than following two real life junkies around for a day. **"
4088,Positive,Negative,"I would give this show a ten out of ten if it was not for the fart jokes. You people are so damn sensitive it is inane! So quick to point out the ""racism"" of the show and the jokes, yet are also so quick to say ridiculously sexist, pig-headed crap like ""well, duh, some of these other shows do these jokes so much better because at least they have hot women."" So disgusting. Abortion jokes are great because, really, who takes abortion seriously anyways? At least I'm not a*bore*son. I hear that Reba McEntire and Sarah Silverman are teaming up to do a movie about sisters taking a road trip together. Talk about a movie of the year!"
4143,Positive,Negative,"A young woman comes to the home town of his husband after he passed away in an accident. She barely settles down in this small town, but shortly after, loses her little son in a kidnapping and all her hopes... This could lead to all kinds following plots in a normal movie: find a new partner and being happy finally; or depressed enough to struggle and finally kill herself... She does try to kill herself, but not after a series of severe fights, with God. She trusts in God, only to find that God seems to forgive everyone, even the killer. Well, I should be careful here about God, the movie doesn't mean a thing against God. The way the movie deals the issue is quite interesting: not in the woman's point of view or from God's perspective (in this way, there would be lots of grass growing, clouds flying views, I suppose). Rather, it's from a third party's eye, the movie let us to perceive and doesn't explain a thing.<br /><br />The movie wouldn't be so interesting were there only the woman. There's this man who's everywhere around the woman and obviously in love with her, but in his own way. He's a funny guy, like a clown I should say, who shamelessly hangs around our heroine. The combination of these two, the woman full of tension, crying and throwing up always, and the man, smiling and talking stupidly, ends up in a good balance of emotions: nothing absurdly wrong or too tedious.<br /><br />Highly recommend."
4147,Positive,Negative,"I cannot say this movie is a disappointment because I read some reviews before watching and it did not do as well as I thought it would have. The bar was not set that high, so the fact that my expectations were met is not saying much.<br /><br />The Good: The city of New York. If you live in the city like me, you'll recognize certain places and understand that the city is supposed to be more than just a setting, rather one of the main characters. There are genuinely tender moments, humorous conversations, and plot twists left and right which all keep things interesting.<br /><br />The Bad: The first thing I thought after leaving the theater was that I wanted more, but not in the positive ""leave them wanting more"" fashion. Certainly the good skits/scenes outweigh the bad, but there are a lot of skits that fall within the ""in-between"" category, too many in fact, which is what ultimately brings the movie down. Also, New York City's diversity, though hinted at though the many distant pans of the city and mentioned in conversation throughout the movie, is never really realized or analyzed to the point of doing the city justice. For example, many of the skits involve well to do middle aged whites. I mean I know the city is home to many of the said demographic but come on, Paris Je'taime's plot and character diversity makes New York City look like Lancaster, PA, or someplace really white. It is just disappointing to see the city shortchanged on its heritage like that.<br /><br />Still, even after having said this, I would recommend giving New York, I Love You a view. Who knows, maybe you'll disagree with my opinion and maybe you won't. You will never know until you see it for yourself. This review is not meant to deter anyone from watching this movie, as everyone's opinion on art differs. I'm just giving you a very vague heads up on what to expect."
4154,Positive,Negative,"This movie is kind of good. It seem that they used the Tyrannosaurus Rex like a blown up balloon, just like Godzilla, just maybe back in those 60-70's days, scientist haven't got enough info. on all sorts of dinosaurs. Back in those time scientist still making dinosaur, so I guess this movie was base on a Tyrannosaurus Rex movements back in the 60-70's. There even a part where a giant rock, fired by someone at the Tyrannosaurus Rex, it damage the Tyrannosaurus Rex and it was knock out for a little while. At the end, the Tyrannosaurus Rex went back to search for food. There is something wrong in the movie as well, like a rifle, how can one rifle kill a Tyrannosaurus Rex, when it could be 1,000-5,000 stronger than we are. If this film going to make a remake, I suggest make it more good and excited, because watching a old movie seems like to have a remake of it, if lucky."
4156,Negative,Positive,"Well I too had heard read all the breathless reviews and comments about how this movie might deserve the Best Picture Oscar so I went to see it today. What a major disappointment! 1) If you read the other reviews you will learn from members of the U.S. military who served in Iraq how unlikely the events of this movie are. They mirrored my own thoughts; as the movie played I - a complete civilian - kept thinking to myself, ""say WHAT? there's no way that would happen like that.."" 2) There's very little that actually happens in terms of plot. A new bomb disposal guy shows up to replace one who was killed (a death that isn't really clearly explained). The new guy gets an adrenaline rush from his work. His attitude puts others at risk. THAT'S IT! 3) This movie is nowhere near as suspenseful as claimed. If you want suspense try one of the Bourne movies. If you want to see a war movie that's emotionally powerful, try renting Go Tell The Spartans, which is about the Vietnam War, and stars Burt Lancaster (who told me PERSONALLY in a serendipitous supermarket encounter that it was a film he was immensely proud of and one he viewed as some of his finest work, and which he was still upset had been largely ignored in the wake of the over-hyped Apocalypse Now), or an old WWII black and white classic Sink The Bismark, which, especially for an English film, is unbelievably heart-wrenching. DON'T WASTE YOUR TIME ON Hurt Locker."
4169,Negative,Positive,"Richard Tyler is a little boy who is scared of everything. He doesn't like riding his bike or climbing on his tree house because he knows what kind of accidents might happen to him. So one day he is riding his bike and because it is starting to rain, he decides to wait in the library until it stops raining. In there the whole story takes place. He experiences all kinds of staff and in the end he is not scared any more. But the whole story is unbelievable and even good actors like Macaulay Culkin could not make the story better than it is."
4172,Positive,Negative,"It's a soap-opera drawing upon an applied ethics idea. A movie about human suffering and death is not necessarily a good movie. I didn't get any emotion from it, the ideas are not at all new, the tension lacks, it becomes tedious towards the second half but towards the end I think it becomes quite interesting in a burlesque way. I mean you have this middle-aged, paralyzed bald guy who gets more women than Don Juan. He doesn't seem to suffer as much as you would expect from someone completely paralyzed for over 28 years, he has no issues with God (and one would probably expect that too), the people around him seem to be the perfect slaves (I can't get out of my mind Bergman's Cries and Whispers, similar to this one in many respects, which simply bursts with emotions, and not all of them humane) etc. This movie is the perfect recipe for housewives who look for some emotional thrill but don't expect to be blown away. The movie is worth seeing among all the cynicism we get today for its sincere intention to present a modern ethical issue without any desire to arouse the viewer. Amenabar doesn't rub your face in it and he doesn't take sides, he doesn't want to make us fanatics for a particular idea. Still I have no clue as to why this movie was so highly regarded."
4175,Positive,Negative,"I watched this movie out of a lack of anything else on at the time. Quickly the movie grabbed me with the depth of the characters and subtle plot. I was quite surprised to see that the rating given by my satellite provider did not show any stars.<br /><br />I will not give any spoilers to the plot-line or outcome but most of the characters had at least some redeeming value. Until the very last minute I did not know how it would turn out. Frequently, you can pick-up the formula and predict a story direction. I could not do that with this film.<br /><br />I would recommend this as one of the finer films of this genre."
4179,Positive,Negative,"Man, I think people have forgotten how to watch a movie. Everyone thinks they're a critic. They comment on things that the average movie goer doesn't even know or think about.<br /><br />I enjoyed the film. It was what I was expecting therefore was not disappointed. Steven gets a bad rap for putting his views into his films but that's also a reason to watch. What's even more funny is the people that complain about his films, say he's the worst and that we shouldn't watch his films, yet watch his movies anyway. All so they can comment on how bad they are. Who's the dummy? If you don't like his work, don't watch it. Then you won't have to subject yourself to this supposedly painful event.<br /><br />Stop comparing movies to other movies and watch a movie on an individual basis and you may begin to enjoy films again."
4182,Positive,Negative,"Hrm-I think that line was from the old movie posters.<br /><br />This is a dumb movie that seems to have been translated from some language that was totally unfamiliar to the translator. Here's a tip: Any movie that starts with a black screen and text reading ""In the future..."" is going to be fun. This means that the premise is so implausible that they have to explain it to you.<br /><br />In this case, ""In the future..."" means that, instead of fighting wars, nations have guys climb into giant robots and duke it out to determine, well, that's never terribly clear, but it's probably something really important. There are good guys (obviously capitalists, i.e. ""us"") and bad guys (Commies!) and there are big stop-motion robots.<br /><br />Sadly, the effects budget was pretty slim, so we don't get to see a lot of the big robots. There are plenty of cheap looking interior scenes, and then a big space fight near the end. The space fight is especially nice, as it serves precisely no purpose other than the blow the remainder of the effects budget.<br /><br />With said money now spent, the climactic fight degenerates into (and I'm not making this up) two guys hitting each other with sticks. I can always get a laugh in a bar by re-enacting the final scene, complete with a last line guaranteed to leave any audience scratching their heads.<br /><br />Like I said-it's dumb. That's why I bought the tape."
4202,Negative,Positive,"This is strictly a review of the pilot episode as it appears on DVD.<br /><br />Television moved out of my life in 1981, so I never followed the series or any part of it - which means that I'm immune to the nostalgic charm that Moonlighting appears to have for most reviewers. <br /><br />(Possible spoiler warning) <br /><br />The pilot of Moonlighting is your basic ""caveman meets fluffball"" yarn, where a ""charming"" red-blooded he-man manipulates a misguided woman into realizing what she really wants and needs. The premises that the script's ""wit"" is based on must have already felt stale around 1950. It also contains some frankly bad writing, as in the scene where Maddie demolishes the furnishings instead of shooting the villain, strictly in order to prove herself the inept female in need of masculine assistance. <br /><br />I often feel that Susan Faludi overreacts in seeing male chauvinist conspiracy in simple entertainment, but in this particular case I'm all with her - Moonlighting has BACKLASH stamped all over it. <br /><br />In one sense, however, this DVD is a must for all serious Bruce Willis fans: in addition to the pilot episode, it contains the screen test that landed Willis the job. Both features show to what amazing extent Willis' acting ability developed between 1985 and 1988/89 (Die Hard 1, In Country). Impressive! <br /><br />Rating (and I _am_ a Bruce Willis fan): 2 out of 10"
4226,Negative,Positive,"Edge Vs. Michaels-Boring in general (loved the sweet chin music into the chair) 4/10 Taker Vs. Heidenreich-One of the worst matches I've seen, predictable as hell 1/10 Tripe Threat WWE match-Why do I watch them, nobody ever wins a championship at the rumble, its not the main event. Liked it when Show drove JBL through the wall. 3/10 World Heavyweight Championship-Pretty OK match, kind of more a beat-down by Tripe H than a match, but I was happy to see it after watching crap. 5/10 Royal Rumble-Good Rumble,Liked the brand showdown,the Hassan thing, and the end. 7/10 Overall still crap. Why does anyone watch the rumble???"
4231,Positive,Negative,"Twisted Desire (1996) was a TV movie starring Melissa Joan Hart. Melissa's character, Jennifer Stanton, a seventeen-year-old seduces her current boyfriend Nick Ryan into murdering her two parents. The movie is based on the 1990 murders of the parents of 14 year old Jessica Wiseman. Jessica had her 17 year old boyfriend Douglas Christopher Thomas shoot and kill her parents! Thomas was executed in 2000! Jessica was released from prison when she turned 21 years old. Evidence now suggests that it was Jessica who fired the fatal shot that killed her mother. Jessica is known to now be residing somewhere in the state of Virginia."
4264,Negative,Positive,"CRYSTAL VOYAGER is a strange documentary about an eccentric surfer living in Australia. An American by birth George Greenough has surfed and photographed himself, friends and recently, dolphins, in Australia for 35 years, all using various re invented cameras which he either straps on his back, board or boat. In the mid 70s he teamed up with Surf Mag editor and budding film maker David Elfick to create this visually interesting tale about this life and photography. The 75 minute feature CRYSTAL VOYAGER is the result. Even in the 70s audiences were a bit puzzled by this film, neither surf-ing movie nor surf movie, because George swims about on a children's zippy board, not a real surfboard.... it offset the tedious droning of George (occasionally so dry or droll that it was actually funny.. like almost setting himself on fire or falling over something) with a spectacular 'you are there' power glide through a wave that ran for 23 minutes all set to Pink Floyd music. In 1974 when the Sydney Opera house opened, it also contained a cinema. Crystal Voyager was booked in there as an arty-sporty OZ pic and by default became a hit: as the 'opera house tickets' cost far more than a movie ticket, audiences flocked to see this film as an excuse to 'have been to the Sydney Opera House'...so the film did record business as a low budget attraction to locals and tourists who wanted to tell neighbors that they had seen a show 'there'. This created this myth that the film was a huge crowd puller and the reputation spread. As a result it was teamed with the fantasy cartoon FANTASTIC PLANET and had a trippy run through the UK and Europe as a double feature. I ran it at a coastal cinema in the 70s and the crowd was rather nonplussed about it all. Recently George has re emerged Lord Of The Flies style with another well photographed sea adventure called DOLPHIN GLIDE that offers viewers a dive and swim with the wild dolphins of Byron Bay. It is an eccentric 20 min short with an even more eccentric 20 min 'how George did it' short. Each were met with a collective yawn by both the media and the pubic in January 2005.... all of which makes CRYSTAL VOYAGER a 'you had to have been there' fluke all those years ago. However at a special Oz Surf night at an outdoor cinema last year 2000 people turned up....but then 2000 turn up every night to see anything there during this summer season of films.....so the damned thing fluked another box office binge. How many actually enjoyed it is very much open to debate. Again they were more than likely just plain puzzled by this mad film with an astonishing reputation. Elfick however, since 1975, has gone onto a stellar career as a major producer and director of many lauded Australian and international films. Look up NO WORRIES or STARSTRUCK or UNDERCOVER or RABBIT PROOF FENCE or LOVE IN LIMBO for clear and present applause at his achievements. George, however, is still floating around out there somewhere droning away and looking for something else to film, or drop a camera on."
4291,Positive,Negative,"It's really not worthy of a 'best picture' consideration, but as entertainment goes, it does the job! This is one that I've watched, with pulse quickening every time, at least a dozen times.<br /><br />Most of these actors were unknown at the time this was done, and we can recognize them from other work. Those that don't have current name recognition probably don't want it.<br /><br />This was a fun ADVENTURE. Sort of like The Little Rascals if they just had to be serious."
4299,Positive,Negative,"A variation of the same plot line was used in a Simon & Simon episode (Thin Air) that originally aired in Dec 1982.<br /><br />The gender of the victim was changed, the surviving spouse is one of Rick's ""old flames"". It's also interesting to note that Gerald McRaney had a role in this Rockford file episode. <br /><br />Both episodes were based on a story by Howard Browne - as noted in the list of 'writing credits'. <br /><br />Anthony James plays one of his classic TV bad guy roles.<br /><br />The continuation of the concept between the Rockford Files to Magnum PI to Simon & Simon quite interesting."
